aerobic capacity,NCT01125436
3 conditions including 250 mg syromycin 500 mg seromycin and placebo,NCT01733030
paranasal sinus diseases,NCT01814618
wound,"NCT01573832,NCT01619137"
conscious sedation,"NCT00452426,NCT01100554,NCT01143766,NCT01168492,NCT01191398,NCT01387139,NCT01805726"
infantpremature,NCT01569633
articular cartilage lesions,NCT01508442
pulmonary air leak,NCT01467622
environmental enteropathy,NCT01832636
ocular itching,NCT01541904
healthy male volunteer,NCT01133431
television viewing,NCT01216306
heart ratedrug effects,NCT01591226
cholelithiasis associated with common bile duct stones,NCT01687959
labour dystocia,NCT01397630
poly substance use,NCT01122186
complete abortion,"NCT01387256,NCT01475318"
hyperandrogenism,"NCT01103518,NCT01569425,NCT01753037"
hyperopic presbyopia,NCT01628146
plexiform neurofibromas,NCT01402817
chemotherapy induced neuropathy,"NCT01537705,NCT01557608"
acute lymphoblastic leukemia all,NCT01527838
disorder of prostheses and implants,NCT01729858
intravenous anesthetic interaction unrecognized condition,NCT01366300
nonunion fracture,NCT01429012
streptococcus group b,NCT00128219
cancer cavi oris,NCT00780312
non hodgkins lymphoma,"NCT00058773,NCT00268983,NCT00276159,NCT00283439,NCT00309842,NCT00336843,NCT00336583,NCT00369707,NCT01090973,NCT01101581,NCT01109069,NCT01149668,NCT01164345,NCT01192464,NCT01269593,NCT01272817,NCT01281917,NCT01300611,NCT01316146,NCT01316523,NCT00571662,NCT01336712,NCT01339572,NCT01353625,NCT01342289,NCT01384513,NCT01408563,NCT01421524,NCT01456351,NCT01458366,NCT01498484,NCT01500161,NCT01508312,NCT01532635,NCT01549886,NCT01572662,NCT01592370,NCT01594229,NCT01598025,NCT01609816,NCT01647971,NCT01728207,NCT01744912,NCT01755975,NCT01767766,NCT01768338,NCT01789723,NCT01793233,NCT00176930"
burn patients,NCT01497990
level of pain,NCT01264172
stage 2 systolic hypertension,NCT00931710
cirrhosis of liver,NCT01722578
optical imaging,NCT01802762
bilateral middle ear effusion requiring tympanostomy tube placement,NCT01755286
dyspareunia,"NCT01122342,NCT01539317"
hiv infected women,NCT01715103
winter depression,NCT01714050
pelvic floor incompetency,NCT01312259
hypothyroxinemia,NCT01306227
postoperative wound complication,NCT01762254
viral hepatitis,NCT01195181
healthy volunteer subjects,NCT01611467
metastatic breast cancer to the brain,NCT01621906
cardiovascular infections,NCT01279642
leukemia lymphoblastic acute philadelphia positive,"NCT01100658,NCT01310010"
persistent atrial fibrillation,"NCT02344394,NCT01362738,NCT01385358,NCT01534962,NCT01672138,NCT01683045,NCT01694563"
anal fissures treatment and oligoantigenic diet,NCT01637857
pharmacy,NCT01644357
prostate cancer cured,NCT01797692
intubation,"NCT00956592,NCT01052038,NCT01076725,NCT01090726,NCT01148732,NCT01168453,NCT01171560,NCT01556061"
cryptococcal meningitis,"NCT01535469,NCT01589289,NCT00145249"
cognition other,NCT01457222
marginal tissue recession,NCT01143610
shared care plan,NCT01587105
nasopharyngeal carcinoma lymphomas any ebv solid tumour,NCT01341834
telemedicine education,NCT01167855
antibody mediated rejection,NCT01630538
patients requiring diagnostic gastroscopy suitable for sedation,NCT01744184
metal ions,NCT01828801
chondral lesion plus partial medial meniscectomy,NCT01803880
nutrition aspect of cancer,NCT01789658
contractures,NCT01700595
untreated childhood anaplastic oligoastrocytoma,NCT02020720
nsaids influence on heal of bone fractures,NCT01567072
burns,"NCT00351741,NCT01138917,NCT01169155,NCT01254357,NCT01299753,NCT01307306,NCT01214980,NCT01368367,NCT01379495,NCT01383187,NCT01418482,NCT01489540,NCT01500655,NCT01598480,NCT01598493,NCT01636362,NCT01657292,NCT01750034,NCT01828541"
adult acute basophilic leukemia,"NCT01806571,NCT00006363,NCT00027872,NCT00089388,NCT00131989,NCT00098423,NCT01729845"
symptomatic aortic stenosis,NCT01487330
stage iiib lung cancer,NCT01228435
age related maculopathies,NCT01494805
diabetes insulin dependent,NCT01443741
disc herniation,NCT01267825
ascaris lumbricoides,NCT01379326
injurymeniscuschronic,NCT01288768
adenosine deaminase deficiency,NCT01279720
surgical site infection,"NCT01110772,NCT01148823,NCT01339091,NCT01431339,NCT01450631,NCT01495117,NCT01496352,NCT01553604,NCT01610271,NCT01659983,NCT01679379,NCT01697748,NCT01713751,NCT01764750,NCT01831154"
managed care,NCT01587105
myocardial disease,NCT01815957
transplants and implants,"NCT00596947,NCT01800929"
atypical endometrial hyperplasia,NCT00483327
frail elderly people,NCT01260493
procedures and surgeries on or through accessible mucous membranes,NCT01746940
pigmentation disorders,NCT01491620
rhinitis,"NCT00078195,NCT01177852,NCT01393548,NCT01393561,NCT01469234,NCT01622231,NCT01630135"
renal colic,"NCT01323842,NCT01546701,NCT01685658,NCT01742689"
bronchoalveolar cell lung cancer,"NCT00002852,NCT00126581,NCT01723800"
stable renal transplant recipients,NCT00991510
stage iiib ovarian epithelial cancer,"NCT00063895,NCT01764802,NCT00083122"
venous leg ulcer,NCT01817543
obliterative bronchiolitis,NCT01255449
cnv,NCT01570790
incontinence,NCT00581061
provider behavior,NCT01145729
nasopharyngeal squamous cell carcinoma stage iv,NCT01316757
muscular dystrophy duchenne,"NCT00102453,NCT01826422"
resorbed alveolar ridge prior to dental implant insertion,NCT01603693
advanced metastatic stage iv colorectal cancer,NCT01619423
early menopausal symptoms,NCT01141972
smoldering multiple myeloma,"NCT00099047,NCT01484275"
breast cancer nos metastatic recurrent,NCT01554371
wegener granulomatosis,NCT01697267
myeloidnk cell acute leukemia,"NCT01273766,NCT01727102"
esophagitis,NCT01733810
vaginal infections,NCT01697826
microbiological flora in the oropharynx and lower airways,NCT01730066
ckd 5d hemodialysis,NCT01407601
locally advanced non resectable breast cancer,NCT01609127
lesion of joint capsule of knee region,NCT01421290
infectious disease of abdomen,NCT01577862
menopause,"NCT01805765,NCT00185458,NCT00894543,NCT01152294,NCT01245907,NCT01293747,NCT01308814,NCT01418209,NCT01457937,NCT01460628,NCT01488864,NCT01539317,NCT01679899,NCT01757340,NCT01778712,NCT01805674,NCT01816360"
patient centered care,NCT01575990
total hip replacement arthroplasty,NCT01512628
otorhinolaryngologic diseases,"NCT01359098,NCT01483937,NCT01669278"
obstructive chronic pulmonary disease,"NCT01336283,NCT01431625"
recurrent gastric cancer,"NCT00031681,NCT01705340,NCT00084604"
rectal neoplasms,"NCT01613469,NCT01717391,NCT01721785"
medically resistant epilepsy,NCT01834482
exercise anaphylaxis,NCT01314573
shivering,NCT01669213
coronary artery bypass graft,"NCT01187329,NCT01341093,NCT01535807,NCT01572454,NCT01596738,NCT01688648"
ankle surgery,NCT01229696
chordoma,"NCT01182779,NCT01347307,NCT01407198"
cardiopulmonary resuscitation,"NCT01361919,NCT00189423"
symptoms of acute bronchitis accompanied by coughing,NCT01127048
advanced care planning patient decision aid,NCT01235611
salivary gland malignancy,NCT01634880
alveolar bone healing after dental extraction,NCT01648686
healthy postprandial,NCT01627912
cystic fibrosis with gastrointestinal manifestation,NCT01499914
leukocyte disorders,NCT01469676
schizophrenic disorders,"NCT00088465,NCT00660595,NCT01279213"
exercise intervention,NCT01523353
hepatorenal syndrome,NCT01436500
familial lipoprotein lipase deficiency,NCT01109498
other chronic postoperative pain,NCT01298778
orthomyxoviridae infections,NCT01587131
intestinal health,NCT01241201
healthy individual,NCT01804010
chronic comorbid conditions,NCT01724125
recurrent childhood cerebral astrocytoma,NCT02020720
hypergonadotropic cryptozoospermia,NCT01206270
coitus,NCT00779025
airway remodeling,NCT01505933
anorexia,"NCT01206335,NCT01295450,NCT01501396,NCT01540019"
angioimmunoblastic t cell lymphoma,"NCT01805037,NCT00003196,NCT00005803,NCT00014235,NCT00025415,NCT00040846,NCT01273766,NCT00098891,NCT01336933,NCT01408043,NCT00003970,NCT01652014,NCT01658319,NCT01727102,NCT01760655,NCT01787409"
diastolic heart failure,"NCT01185067,NCT01599117"
infant wheeze,NCT01723696
respiratory aspiration of gastric contents,NCT01357824
vaccination,"NCT00169858,NCT01109914,NCT01224301,NCT01665807"
sneezing,NCT01448057
seaweed associated changes in healthy subjects,NCT01663792
return to work,"NCT01184547,NCT01801969"
leptospirosis,"NCT01080989,NCT01766830"
low rectal adenocarcinoma,NCT01396928
castration resistant prostate cancer,"NCT01522443,NCT01540071,NCT01637402,NCT01735396"
metabolism,NCT01447472
heart failure nyha class iii,"NCT01965015,NCT01534234,NCT01560871"
parkinsons disease pd,NCT01398748
chronic cavitary pulmonary aspergillosis,NCT01259336
cervical spondylosis with symptomatic neurological compression,NCT01383876
optic neuropathy ischemic,NCT01607671
conservative treatment,NCT01829633
recurrent borderline ovarian surface epithelial stromal tumor,NCT00031681
cadasil,NCT01361763
secondary acute myeloid leukemia,"NCT00025415,NCT00052520,NCT00096161,NCT00119366,NCT01273766,NCT00098423,NCT01652014,NCT01760655,NCT01801046"
chronic hemolysis,NCT01579838
stevens johnson syndrome,NCT01582880
healthy population control,NCT01797692
rituximab,NCT01136395
brachycephaly,NCT01218087
gastrointestinal symptoms in young infants,NCT01684319
flank pain acute,NCT01538745
metastatic prostate cancer,"NCT00452387,NCT01153113,NCT01558219"
pituitary disease,NCT00182091
type 1 diabetes mellitus,"NCT00962026,NCT01083433,NCT01210664,NCT01220479,NCT01261052,NCT01275131,NCT01304537,NCT01311076,NCT01390259,NCT01401751,NCT01418703,NCT01421225,NCT01434862,NCT01439672,NCT01440140,NCT01445951,NCT01447979,NCT01447992,NCT01470807,NCT01472406,NCT01483651,NCT01526733,NCT01534013,NCT01554566,NCT01555788,NCT01578980,NCT01582139,NCT01603121,NCT01626586,NCT01668485,NCT01697150,NCT01733524,NCT01767831,NCT01782547"
pediculosis,NCT01518699
bipolar disorders,NCT01188148
anaplastic astrocytoma,"NCT01081223,NCT01171469,NCT01380782,NCT01386710,NCT01808820,NCT01470794,NCT01502241,NCT01711580,NCT01721577"
cystoid macular edema following cataract surgery bilateral,NCT01542190
fear of falling,"NCT01523600,NCT01609322"
stage iia cervical cancer,NCT01764802
recurrent childhood anaplastic astrocytoma,NCT02020720
infection human immunodeficiency virus,"NCT01802918,NCT00071760,NCT00363142,NCT01498861,NCT01563328,NCT01568892,NCT01593046,NCT01622790,NCT01641809,NCT01754116,NCT01762995"
wegeners,NCT01405807
exotropia,NCT01460355
knowledge translation,NCT01746459
obstructive jaundice,"NCT01191814,NCT01506115,NCT01675908,NCT01688375"
complication of transplanted lung,NCT01469364
delayed healing,NCT01640366
mesenchymal stem cells,"NCT01763086,NCT01763099"
stage iva squamous cell carcinoma of the paranasal sinus and nasal cavity,"NCT00088907,NCT00114283,NCT01637194,NCT01674374,NCT01696955,NCT01711541,NCT01816984"
efficacy of low dose of warfarin to reach target inr in high risk patients with mechanical heart valve prosthesis,NCT01758640
airway inflammation,NCT01417481
complications from abdominal pelvic pressure,NCT01497756
mild persistent asthma,"NCT01591343,NCT01343745"
resident work hours,NCT01398878
decreased immunologic activity pe,NCT01298102
pilot study,NCT01175161
myocardial scarring,NCT01408134
trans epidermal water loss tewl,NCT01364948
patients undergoing lung surgery,NCT01650363
pertussis andor poliomyelitis diseases,NCT00871117
pneumococcal disease,"NCT00463437,NCT00680914,NCT00808444,NCT00814710,NCT00891176,NCT01095471,NCT01432158"
vitreous hemorrhage,"NCT01724385,NCT00198510"
neurologic ambulation disorder,NCT01138995
implant,"NCT01097499,NCT01103765,NCT01279187"
chronic kidney disease stage 3,NCT01709994
sexually active,NCT01401816
tia,"NCT01175876,NCT01645306"
first ischemic stroke,NCT01378468
tic,NCT01172288
learning disorders,"NCT01652651,NCT01818778"
subarachnoid haemorrhage,NCT01113645
peripheral arterial disease and type ii diabetes mellitus,NCT01785524
peripheral polyneuropathy,NCT01094418
squamous neck carcinoma of the head and neck cancer scchn,NCT00002774
stage ivb cervical cancer,"NCT00031681,NCT01676818"
head and neck sarcoma,NCT01344356
brain oxygenation,NCT01200433
stage iv mycosis fungoidessezary syndrome,"NCT00025415,NCT00040846,NCT00052377,NCT01273766,NCT00098891,NCT00003970"
lower back injury,NCT01401842
visual function,NCT00758550
alcohol abuseaddiction,NCT01586689
stage iv head and neck cancer,NCT00405405
gas pain related intake,NCT01595932
healthy overweight andor obese subjects,NCT01764425
paediatric thyrotoxicosis,NCT01436994
perinatal dha and folate status,NCT01180933
chronic kidney disease stage v,NCT01298869
acute distress respiratory syndrome ards,NCT01683669
depressive disorder major,"NCT00149643,NCT00304746,NCT00406640,NCT00671515,NCT00696774,NCT00763230,NCT00824291,NCT00928980,NCT01163266,NCT01179516,NCT01255787,NCT01152996,NCT01153009,NCT01360866,NCT01477931,NCT01564862,NCT01583400,NCT01583764,NCT01718730,NCT01727726,NCT01814098"
effects of vibration,NCT01553487
childhood grade i meningioma,NCT02020720
recurrent childhood lymphoblastic lymphoma,"NCT00005803,NCT00014235,NCT00040846,NCT01760655"
neurotrophic keratitis,NCT01756456
immune profile,NCT01454037
hypogonadotropic hypogonadism,"NCT01155518,NCT01270841,NCT01623570"
metaplasia,NCT01499576
condylomata acuminata,NCT00090285
malocclusion angle class ii,NCT01530516
non anemic iron deficiency,NCT01481766
clostridium difficile associated diarrhea cdad,NCT00177970
pharmacokinetic study,"NCT01714856,NCT01717235"
musculoskeletal disorders,"NCT01542827,NCT01562418"
lack of satiety,"NCT01358318,NCT01587911"
gram positive skin infections,NCT01223222
adenocarcinoma of the colon,"NCT00005818,NCT01447732,NCT01455831,NCT00079274,NCT00217737"
post traumatic headache,NCT00487578
nicotine dependency,NCT01318668
axial and peripheral spondyloarthritis according to the asas criteria,NCT01590966
bone marrow disease,NCT00187135
stage iiib endometrial carcinoma,NCT01764802
bronchodilator agents,NCT01271556
asthma chronic obstructive pulmonary disease copd,NCT01365286
becker muscular dystrophy,"NCT01168908,NCT01350154,NCT01519349"
spinal catheter epidural subdural complications infection or inflammation,NCT01411891
youth coaching,NCT01575457
malignant primary brain tumors,NCT01100658
physical functioning,NCT01155011
stage ib primary peritoneal cavity cancer,NCT01764802
hiv negative,NCT01283360
patients requiring heparin free dialysis treatments,NCT01318486
lymphangiomyomas,NCT00005906
nicotine dependence,"NCT00105482,NCT00129246,NCT00405912,NCT00602927,NCT01120080,NCT01145001,NCT01166464,NCT01169610,NCT01182766,NCT01186055,NCT01188967,NCT01202955,NCT01204723,NCT01228994,NCT01277887,NCT01292642,NCT01299909,NCT01303861,NCT01304810,NCT01314001,NCT01314378,NCT01342523,NCT01368653,NCT01395797,NCT01480232,NCT01550029,NCT01553084,NCT01554436,NCT01566097,NCT01569477,NCT01569490,NCT01636310,NCT01636323,NCT01636336,NCT01639079,NCT01656733,NCT01679236,NCT01685996,NCT01690130,NCT01710410,NCT01780038,NCT01784016,NCT01784627,NCT01784653,NCT01806779"
sub acute stroke,NCT01405378
achilles tendon rupture,"NCT01265004,NCT01298024,NCT01622179"
multiple sclerosis secondary progressive with relapses,NCT01435993
chronic pain,"NCT01805947,NCT00463047,NCT00531427,NCT00813488,NCT01115569,NCT01118988,NCT01155986,NCT01162304,NCT01172795,NCT01185470,NCT01188460,NCT01295437,NCT01316471,NCT01369680,NCT01402960,NCT01403363,NCT01404052,NCT01404065,NCT01491269,NCT01493245,NCT01496378,NCT01505101,NCT01510457,NCT01517256,NCT01517295,NCT01528332,NCT01544062,NCT01551511,NCT01562483,NCT01575002,NCT01595035,NCT01597011,NCT01599767,NCT01600248,NCT01603797,NCT01608035,NCT01643213,NCT01665040,NCT01674335,NCT01674881,NCT01675960,NCT01688583,NCT01738048,NCT01747070,NCT01748227,NCT01755169,NCT01768650,NCT01775995,NCT01795079,NCT01816243,NCT01819805,NCT01821430"
gram negative bacterial infections,NCT01732250
reversible pulpitis,"NCT01224925,NCT01622153"
diffuse large b cell lymphoma refractory,NCT01805557
docetaxel toxicity,NCT01110291
stage iib mycosis fungoidessezary syndrome,"NCT01805037,NCT01738594"
enrichment with meaning generating activities,NCT01732575
recurrent vulvar cancer,NCT01652794
unspecified childhood solid tumor protocol specific,"NCT00112996,NCT01126346,NCT00104962,NCT01709435,NCT01725191,NCT01791088"
unresectable or metastatic hepatocellular carcinoma,NCT01567930
therapeutic uses,"NCT01121510,NCT01195181"
fallopian tube carcinoma,NCT01634893
hypoxic hepatitis,NCT01690845
prediabetes,"NCT00270985,NCT00631345,NCT01103648,NCT01122446,NCT01227473,NCT01248286,NCT01386645,NCT01396772,NCT01430221,NCT01432509,NCT01488734,NCT01518023,NCT01554020,NCT01574820,NCT01680211,NCT01708694,NCT01763346,NCT01765946,NCT01795833,NCT01804049"
corneal neovascularization,NCT01257750
squamous cell carcinoma of the anus,NCT01285778
porc postoperative residual curarization,NCT01690338
metastatic transitional cell cancer of the renal pelvis and ureter,"NCT00072150,NCT00041106,NCT00112905,NCT00005831"
fear,NCT01424059
very low birth weight infants,"NCT00033917,NCT01434849,NCT01531179,NCT01531192"
postmenopausal bone loss,NCT01653275
blood products,NCT01221389
victimization,NCT01497405
